Resource Name,Project Name,Task Name,HOMEGROUP,Resource Security Group,PRIMARY_BL,DEPT_COUNTRY,DEMAND_TYPE,="Oct 25",="Nov 25",="Dec 25",="Jan 26",="Feb 26",="Mar 26",="Apr 26",="May 26",="Jun 26",="Jul 26",="Aug 26",="Sep 26",="Oct 26",="Nov 26",="Dec 26",="Jan 27",="Feb 27",="Mar 27",="Apr 27",="May 27",="Jun 27",="Jul 27",="Aug 27",="Sep 27",="Oct 27",="Nov 27",="Dec 27",="Jan 28",="Feb 28",="Mar 28",="Apr 28",="May 28",="Jun 28",="Jul 28",="Aug 28",="Sep 28",="Oct 28",="Nov 28",="Dec 28",="Jan 29",="Feb 29",="Mar 29",="Apr 29",="May 29",="Jun 29",="Jul 29",="Aug 29",="Sep 29",
CNE-HWS System_77963_X_India-CDC_Connectivity Shared_Staffed,26646 - CBN_WIN_Rimini_HW,Generic,CNE-HWS,CNE,WIN,India,Staffed,6.25,5.75,6.75,6.75,7.75,7.75,8.75,10.25,14.50,14.50,14.00,14.00,10.25,9.75,9.50,9.50,0.50,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS RF and Board Design_58316_X_Taiwan_Connectivity Shared_Staffed,26646 - CBN_WIN_Rimini_HW,Generic,CNE-HWS,CNE,WIN,Taiwan,Staffed,1.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,2.00,1.50,1.00,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS System_58316_X_Taiwan_Connectivity Shared_Staffed,26646 - CBN_WIN_Rimini_HW,Generic,CNE-HWS,CNE,WIN,Taiwan,Staffed,0.00,7.00,6.00,6.50,6.50,5.50,6.50,8.00,8.00,8.50,8.50,8.50,7.50,7.50,7.50,9.50,9.50,9.50,8.50,8.50,4.50,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-PE and Arch Technology_50706_X_US_Connectivity Shared_Staffed,22256 - CBN_WIN_Trestles_HW,Generic,CNE-PE and Arch,CNE,WIN,US,Staffed,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS System_77963_X_India-CDC_Connectivity Shared_Staffed,26673 - CBN_WBC_LBR_HW,Generic,CNE-HWS,CNE,WBC,India,Staffed,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS RF and Board Design_77963_X_India-CDC_Connectivity Shared_Staffed,26673 - CBN_WBC_LBR_HW,Generic,CNE-HWS,CNE,WBC,India,Staffed,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS DVT_77963_X_India-CDC_Connectivity Shared_Staffed,26673 - CBN_WBC_LBR_HW,Generic,CNE-HWS,CNE,WBC,India,Staffed,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS DVT_77963_X_India-CDC_Connectivity Shared_Staffed,26877 - CBN_WIN_Sorrento_HW,Generic,CNE-HWS,CNE,WIN,India,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.75,0.75,0.75,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS RF and Board Design_77963_X_India-CDC_Connectivity Shared_Staffed,26877 - CBN_WIN_Sorrento_HW,Generic,CNE-HWS,CNE,WIN,India,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,2.75,2.75,3.25,3.25,3.25,3.75,3.50,4.00,4.00,4.50,3.00,4.00,5.00,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS System_77963_X_India-CDC_Connectivity Shared_Staffed,26877 - CBN_WIN_Sorrento_HW,Generic,CNE-HWS,CNE,WIN,India,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,8.00,8.00,8.00,11.75,11.75,12.25,12.50,19.75,19.75,19.75,19.75,18.75,19.00,17.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS DVT_77963_X_India-CDC_Connectivity Shared_Staffed,26879 - CBN_WIN_Goa_HW,Generic,CNE-HWS,CNE,WIN,India,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS RF and Board Design_77963_X_India-CDC_Connectivity Shared_Staffed,26879 - CBN_WIN_Goa_HW,Generic,CNE-HWS,CNE,WIN,India,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.75,0.75,0.75,3.75,6.25,7.75,8.75,8.75,13.25,13.25,13.25,12.50,12.50,12.50,12.50,11.50,11.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS System_77963_X_India-CDC_Connectivity Shared_Staffed,26879 - CBN_WIN_Goa_HW,Generic,CNE-HWS,CNE,WIN,India,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,2.00,3.00,5.00,7.00,11.50,19.00,19.00,19.00,19.00,18.00,18.00,18.00,17.00,17.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS DVT_58316_X_Taiwan_Connectivity Shared_Staffed,24156 - CBN_CCW_Pion_HW,Generic,CNE-HWS,CNE,CCW,Taiwan,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS Management_77963_X_India-CDC_Connectivity Shared_Staffed,00000 - Management,Generic,CNE-HWS,CNE,,India,Staffed,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS DVT_50336_X_US_Connectivity Shared_Staffed,26307 - CBN_MC_Orinoco_HW,Generic,CNE-HWS,CNE,MC,US,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,2.75,2.75,2.75,3.75,3.75,2.00,2.00,2.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS System_50336_X_US_Connectivity Shared_Staffed,24156 - CBN_CCW_Pion_HW,Generic,CNE-HWS,CNE,CCW,US,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.84,0.84,0.84,0.84,5.84,5.84,5.84,7.84,7.84,10.84,11.84,11.84,13.84,13.00,13.00,13.00,9.00,9.00,9.00,9.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-PE and Arch Technology_11977_India-BDC_Connectivity Shared_Staffed,26877 - CBN_WIN_Sorrento_HW,Generic,CNE-PE and Arch,CNE,WIN,India,Staffed,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS Management_50551_Israel_Connectivity Shared_Staffed,21969 - CBN_WIN_Juhu_HW,Generic,CNE-HWS,CNE,WIN,Israel,Staffed,0.80,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS Management_50551_Israel_Connectivity Shared_Staffed,24121 - CBN_WIN_Belmar_HW,Generic,CNE-HWS,CNE,WIN,Israel,Staffed,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.30,0.30,0.30,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS Management_50551_Israel_Connectivity Shared_Staffed,26879 - CBN_WIN_Goa_HW,Generic,CNE-HWS,CNE,WIN,Israel,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.30,0.30,0.30,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS RF and Board Design_58316_X_Taiwan_Connectivity Shared_Staffed,23813 - CBN_WBC_Platform_HW_SW,WBC_QMB415,CNE-HWS,CNE,WBC,Taiwan,Staffed,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
CNE-HWS RF and Board Design_58316_X_Taiwan_Connectivity Shared_Staffed,23813 - CBN_WBC_Platform_HW_SW,WBC_QMB715,CNE-HWS,CNE,WBC,Taiwan,Staffed,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
CNE-HWS DVT_58316_X_Taiwan_Connectivity Shared_Staffed,26138 - CBN_WIN_Hermosa_HW,Generic,CNE-HWS,CNE,WIN,Taiwan,Staffed,0.00,0.00,0.00,0.00,0.00,0.50,0.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-PE and Arch Technology_11977_India-BDC_Connectivity Shared_Staffed,26646 - CBN_WIN_Rimini_HW,Generic,CNE-PE and Arch,CNE,WIN,India,Staffed,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS System_77963_X_India-CDC_Connectivity Shared_Staffed,23180 - CBN_MC_LegacySupport_HW,Generic,CNE-HWS,CNE,MC,India,Staffed,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS RF and Board Design_58316_X_Taiwan_Connectivity Shared_Staffed,27618 - CBN_MC_Cherokee_ROM_SPIN_HW,Generic,CNE-HWS,CNE,MC,Taiwan,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,1.50,1.50,1.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS System_58316_X_Taiwan_Connectivity Shared_Staffed,27618 - CBN_MC_Cherokee_ROM_SPIN_HW,Generic,CNE-HWS,CNE,MC,Taiwan,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS RF and Board Design_58316_X_Taiwan_Connectivity Shared_Staffed,27409 - CBN_MC_Nestos_HW,Generic,CNE-HWS,CNE,MC,Taiwan,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.50,5.00,6.00,7.50,8.00,7.00,7.00,7.00,7.50,7.50,8.50,8.50,6.00,6.00,6.00,6.00,6.00,3.00,3.00,0.00,
CNE-HWS System_58316_X_Taiwan_Connectivity Shared_Staffed,27409 - CBN_MC_Nestos_HW,Generic,CNE-HWS,CNE,MC,Taiwan,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3.00,8.00,13.00,19.00,19.00,18.00,17.50,18.00,25.50,27.00,27.50,28.50,27.50,28.00,28.00,26.00,23.00,18.00,11.50,1.50,0.00,0.00,
CNE-HWS DVT_58316_X_Taiwan_Connectivity Shared_Staffed,27409 - CBN_MC_Nestos_HW,Generic,CNE-HWS,CNE,MC,Taiwan,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.50,1.00,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,0.00,
CNE-PE and Arch Technology_50706_X_US_Connectivity Shared_Staffed,27618 - CBN_MC_Cherokee_ROM_SPIN_HW,Generic,CNE-PE and Arch,CNE,MC,US,Staffed,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS RF and Board Design_50336_X_US_Connectivity Shared_Staffed,24156 - CBN_CCW_Pion_HW,Generic,CNE-HWS,CNE,CCW,US,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS RF and Board Design_58316_X_Taiwan_Connectivity Shared_Staffed,26307 - CBN_MC_Orinoco_HW,Generic,CNE-HWS,CNE,MC,Taiwan,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.50,2.00,1.50,1.50,2.00,3.00,3.00,2.00,1.50,2.00,3.00,2.00,2.00,1.50,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS DVT_58316_X_Taiwan_Connectivity Shared_Staffed,26307 - CBN_MC_Orinoco_HW,Generic,CNE-HWS,CNE,MC,Taiwan,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS RF and Board Design_58316_X_Taiwan_Connectivity Shared_Staffed,27666 - XR_Twilight_HW,Generic,CNE-HWS,CNE,XR,Taiwan,Staffed,0.00,0.00,0.00,2.00,4.50,6.50,5.00,6.00,5.50,5.00,5.50,4.50,5.00,5.00,4.50,4.00,5.00,6.50,6.50,5.50,5.00,4.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS System_58316_X_Taiwan_Connectivity Shared_Staffed,27666 - XR_Twilight_HW,Generic,CNE-HWS,CNE,XR,Taiwan,Staffed,0.00,0.00,0.00,6.50,13.00,15.00,14.50,15.00,15.00,15.00,15.00,15.00,16.00,16.00,16.00,16.00,16.00,15.50,15.50,15.00,11.00,10.00,9.50,8.50,6.00,2.50,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS DVT_58316_X_Taiwan_Connectivity Shared_Staffed,27666 - XR_Twilight_HW,Generic,CNE-HWS,CNE,XR,Taiwan,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS RF and Board Design_50336_X_US_Connectivity Shared_Staffed,27328 - CBN_MC_Ubangi_HW,Generic,CNE-HWS,CNE,MC,US,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-PE and Arch Technology_50706_X_US_Connectivity Shared_Staffed,27666 - XR_Twilight_HW,Generic,CNE-PE and Arch,CNE,XR,US,Staffed,1.30,1.30,1.30,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS RF and Board Design_77963_X_India-CDC_Connectivity Shared_Staffed,26505 - Telesto,Generic,CNE-HWS,CNE,Wearables,India,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.25,0.25,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS System_77963_X_India-CDC_Connectivity Shared_Staffed,26505 - Telesto,Generic,CNE-HWS,CNE,Wearables,India,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,1.00,1.00,1.50,3.50,5.00,5.50,5.50,9.00,9.00,9.00,9.00,7.25,7.25,7.25,5.25,5.25,3.75,3.25,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS DVT_77963_X_India-CDC_Connectivity Shared_Staffed,26505 - Telesto,Generic,CNE-HWS,CNE,Wearables,India,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS System_14362_X_India-CDC_WBC_Staffed,26673 - CBN_WBC_LBR_HW,Generic,CNE-HWS,CNE,WBC,India,Staffed,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS System_14362_X_India-CDC_WBC_Staffed,27412 - CBN_WBC_WIFI_HWS,Generic,CNE-HWS,CNE,WBC,India,Staffed,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS Management_58316_X_Taiwan_Connectivity Shared_Staffed,00000 - Support,Generic,CNE-HWS,CNE,,Taiwan,Staffed,0.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,
CNE-HWS System_77963_X_India-CDC_Connectivity Shared_Staffed,00000 - Leave of Absence/Vacation,Generic,CNE-HWS,CNE,,India,Staffed,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS RF and Board Design_75947_Spain_Connectivity Shared_Staffed,26307 - CBN_MC_Orinoco_HW,Generic,CNE-HWS,CNE,MC,Spain,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS DVT_50336_X_US_Connectivity Shared_Staffed,26877 - CBN_WIN_Sorrento_HW,Generic,CNE-HWS,CNE,WIN,US,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
